mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.485792875289917,0.7472967613888107,0.35442276000976564,0.143150849610628,tanh,0.0001,"(128, 128)",0.01,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.01}",,0.14285714285714285,0.14285714285714285,,,,,19
2.800572156906128,0.4519079392701304,0.2451728343963623,0.028685723063407654,tanh,0.0001,"(128, 128)",0.1,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.1}",0.13333333333333333,,0.14285714285714285,0.0,,,,19
3.179727792739868,0.9041388126230294,0.22882523536682128,0.008911433027057122,tanh,0.0001,"(256, 256)",0.001,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.001}",,0.07142857142857142,0.07142857142857142,,0.0,,,19
3.424718952178955,0.7261883580616061,0.31949748992919924,0.1211591031910533,tanh,0.0001,"(256, 256)",0.01,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.01}",0.13333333333333333,,0.14285714285714285,0.14285714285714285,,,,19
2.728749132156372,0.29644385653076266,0.2655545711517334,0.07548464708340202,tanh,0.0001,"(256, 256)",0.1,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.1}",,,,,,,,19
2.384453773498535,0.7878227835368684,0.2777620792388916,0.11187115659574717,tanh,0.001,"(64,)",0.001,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.0,,0.07142857142857142,0.0,,,,19
1.8374145030975342,0.3179224377806426,0.1933831214904785,0.013465664393950697,tanh,0.001,"(64,)",0.01,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",,,0.0,,,,,19
2.080439567565918,0.48512572741906174,0.249867582321167,0.07527611627919514,tanh,0.001,"(64,)",0.1,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.1}",0.0,,0.07142857142857142,,,,,19
2.1737216472625733,0.4409634544086988,0.19411396980285645,0.012606655873156685,tanh,0.001,"(128,)",0.001,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",,0.07142857142857142,0.21428571428571427,0.07142857142857142,,,,19
1.6903040885925293,0.029843141836526428,0.19792418479919432,0.00819230627511764,tanh,0.001,"(128,)",0.01,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.0,0.14285714285714285,,0.0,,,,19
